Cond,Finger,PId,Phone,TouchedArea
seated,Little,14,s4,4
seated,Little,14,s3,0
seated,Ring,14,s4,0
seated,Middle,14,opo,25
walking,Little,14,n6,40
walking,Ring,14,n6,23
seated,Ring,14,opo,14
walking,Thumb,14,s3,263
seated,Ring,14,s3,0
seated,Little,14,opo,8
seated,Thumb,14,s3,307
walking,Index,14,opo,12
seated,Index,14,s4,0
walking,Ring,14,opo,19
walking,Little,14,opo,38
seated,Index,14,opo,19
seated,Middle,14,n6,13
walking,Thumb,14,n6,240
walking,Little,14,s3,0
walking,Little,14,s4,17
walking,Ring,14,s4,30
seated,Ring,14,n6,10
walking,Index,14,s4,40
walking,Middle,14,s3,2
walking,Middle,14,n6,10
seated,Little,14,n6,53
seated,Middle,14,s3,0
seated,Thumb,14,s4,132
walking,Ring,14,s3,1
seated,Index,16,s4,2
seated,Thumb,16,opo,379
seated,Thumb,16,n6,264
seated,Little,16,s3,0
seated,Ring,16,s4,0
seated,Thumb,16,s3,211
seated,Index,16,n6,8
walking,Little,16,opo,7
walking,Little,16,s3,1
walking,Index,16,opo,31
walking,Thumb,16,opo,255
walking,Thumb,16,n6,196
walking,Middle,16,n6,14
seated,Middle,16,s3,0
walking,Little,16,n6,13
seated,Ring,16,opo,4
walking,Middle,16,opo,43
seated,Thumb,16,s4,364
seated,Middle,16,s4,0
seated,Ring,16,n6,0
seated,Index,16,opo,5
walking,Little,16,s4,0
walking,Index,16,n6,4
walking,Thumb,16,s4,102
walking,Index,16,s3,26
walking,Middle,16,s4,0
seated,Middle,16,n6,0
seated,Little,16,opo,0
walking,Ring,16,s4,0
walking,Thumb,16,s3,263
seated,Little,16,n6,0
walking,Ring,16,n6,14
walking,Ring,16,opo,16
walking,Index,16,s4,0
walking,Ring,16,s3,11
seated,Index,16,s3,0
seated,Middle,16,opo,1
seated,Ring,16,s3,1
walking,Middle,16,s3,30
seated,Little,16,s4,0
walking,Index,17,s4,6
seated,Middle,17,s3,9
walking,Index,17,n6,4
walking,Ring,17,opo,0
seated,Ring,17,n6,4
walking,Ring,17,s4,0
seated,Index,17,s3,6
walking,Index,17,opo,0
seated,Middle,17,n6,21
walking,Little,17,opo,1
walking,Little,17,s3,33
seated,Index,17,s4,14
seated,Little,17,n6,17
walking,Little,17,s4,2
walking,Ring,17,s3,60
walking,Middle,17,s3,74
walking,Middle,17,n6,0
seated,Thumb,17,s3,283
walking,Thumb,17,s3,628
walking,Thumb,17,n6,168
seated,Thumb,17,s4,287
seated,Index,17,opo,11
seated,Middle,17,opo,15
walking,Middle,17,opo,1
seated,Index,17,n6,58
seated,Ring,17,opo,10
walking,Middle,17,s4,4
walking,Ring,17,n6,4
walking,Thumb,17,opo,251
walking,Thumb,17,s4,234
walking,Index,17,s3,65
seated,Thumb,17,n6,205
seated,Little,17,s4,1
seated,Ring,17,s3,20
seated,Middle,17,s4,3
seated,Thumb,17,opo,271
seated,Little,17,opo,10
seated,Little,17,s3,13
walking,Little,17,n6,22
seated,Ring,17,s4,0
seated,Little,19,s3,0
seated,Thumb,19,s3,140
walking,Thumb,19,opo,397
walking,Middle,19,s4,9
walking,Thumb,19,s3,216
seated,Index,19,n6,34
seated,Little,19,s4,19
seated,Little,19,opo,68
walking,Middle,19,opo,20
walking,Little,19,opo,120
seated,Index,19,opo,9
walking,Little,19,n6,21
walking,Thumb,19,s4,203
walking,Thumb,19,n6,281
seated,Little,19,n6,44
walking,Middle,19,n6,23
seated,Thumb,19,s4,226
walking,Little,19,s4,5
seated,Ring,19,opo,7
seated,Middle,19,s4,21
seated,Thumb,19,n6,561
seated,Ring,19,s4,12
seated,Ring,19,s3,0
walking,Index,19,s3,0
seated,Index,19,s3,3
seated,Thumb,19,opo,223
seated,Middle,19,opo,7
walking,Index,19,s4,8
walking,Ring,19,opo,61
seated,Middle,19,n6,24
walking,Ring,19,s4,7
walking,Index,19,n6,22
walking,Index,19,opo,15
walking,Ring,19,s3,4
walking,Ring,19,n6,4
seated,Ring,19,n6,5
walking,Middle,19,s3,9
seated,Index,19,s4,2
walking,Little,19,s3,14
seated,Middle,19,s3,0
seated,Index,20,opo,1
walking,Middle,20,s3,54
seated,Little,20,s4,10
walking,Index,20,s3,13
seated,Thumb,20,s4,65
walking,Ring,20,n6,49
seated,Middle,20,opo,1
walking,Index,20,s4,9
walking,Ring,20,opo,7
walking,Thumb,20,s4,54
walking,Little,20,s3,11
seated,Middle,20,n6,9
seated,Little,20,opo,5
seated,Thumb,20,s3,130
walking,Middle,20,s4,5
walking,Ring,20,s4,0
seated,Little,20,n6,1
walking,Thumb,20,s3,215
walking,Little,20,s4,1
walking,Ring,20,s3,1
walking,Index,20,opo,0
walking,Index,20,n6,9
walking,Middle,20,n6,56
seated,Ring,20,s4,14
seated,Index,20,s3,0
seated,Ring,20,s3,5
seated,Thumb,20,opo,42
walking,Little,20,opo,0
seated,Thumb,20,n6,38
walking,Thumb,20,opo,73
seated,Ring,20,opo,1
walking,Middle,20,opo,1
seated,Index,20,n6,2
seated,Index,20,s4,2
walking,Little,20,n6,62
seated,Middle,20,s4,4
seated,Middle,20,s3,7
walking,Thumb,20,n6,95
seated,Little,20,s3,15
seated,Ring,20,n6,6
